,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 21, 2026 - COT Leveraged Funds >>> valid for trades from July 27, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"100,990","53,953","5,448,713,470","34,660","3,500,313,400","16,361","1,652,297,390","18,299","1,848,016,010","-1,938",-3.59%,-5.59%,10.11%,"-195,718,620","-195,718,620",,GBPNZD,AUDNZD,GBPCAD,AUDCAD,GBPJPY,AUDJPY,GBPCHF,
EUR,"125,000","800,061","114,285,713,621","238,891","34,124,683,509","91,110","11,388,750,000","147,781","18,472,625,000","-56,671",-7.08%,-23.72%,-0.74%,"-7,083,875,000","-8,095,239,834",,53.70%,52.70%,46.50%,45.50%,34.70%,33.70%,31.90%,
GBP,"62,500","262,281","22,041,931,314","103,552","8,702,445,360","68,394","4,274,625,000","35,158","2,197,375,000","33,236",12.67%,32.10%,2.47%,"2,077,250,000","2,793,132,668",,AUDCHF,USDCAD,EURNZD,GBPUSD,EURCAD,AUDUSD,USDJPY,
CAD,"100,000","365,599","26,078,542,269","161,607","11,527,588,917","31,615","3,161,500,000","129,992","12,999,200,000","-98,377",-26.91%,-60.87%,-3.16%,"-9,837,700,000","-7,017,329,787",,30.90%,27.60%,25.80%,18.80%,18.60%,17.80%,15.80%,
AUD,"100,000","225,153","15,713,653,023","82,474","5,755,942,934","53,631","5,363,100,000","28,843","2,884,300,000","24,788",11.01%,30.06%,-2.11%,"2,478,800,000","1,729,979,308",,USDCHF,EURJPY,EURCHF,CHFJPY,GBPAUD,NZDCAD,EURUSD,
NZD,"100,000","108,800","6,353,920,000","41,292","2,411,452,800","5,103","510,300,000","36,189","3,618,900,000","-31,086",-28.57%,-75.28%,-6.73%,"-3,108,600,000","-1,815,422,400",,13.10%,6.80%,4.00%,2.80%,1.00%,-7.20%,-9.10%,
CHF,"125,000","107,866","16,678,510,585","28,073","4,340,717,443","9,588","1,198,500,000","18,485","2,310,625,000","-8,897",-8.25%,-31.69%,0.62%,"-1,112,125,000","-1,375,676,382",,CADJPY,CADCHF,NZDJPY,NZDCHF,EURAUD,EURGBP,NZDUSD,
JPY,"12,500,000","423,796","32,579,317,500","258,251","19,853,045,625","81,033","1,012,912,500,000","177,218","2,215,225,000,000","-96,185",-22.70%,-37.24%,-1.39%,"-1,202,312,500,000","-7,394,221,875",,-11.80%,-14.60%,-19.00%,-21.80%,-26.90%,-27.90%,-34.80%,
SP500 (E-MINI),"370,599","1,939,493","718,774,166,307","616,533","228,486,513,267","146,834","54,416,533,566","469,699","174,069,979,701","-322,865",-16.65%,-52.37%,5.03%,"-119,653,446,135","-119,653,446,135",,,,,,,,,
NAS100 (NQ MINI),"562,567","286,903","161,402,160,001","167,378","94,161,339,326","46,344","26,071,605,048","121,034","68,089,734,278","-74,690",-26.03%,-44.62%,-4.35%,"-42,018,129,230","-42,018,129,230",,,,,,,,,
US30 (YM),"259,736","82,002","21,298,871,472","28,841","7,491,045,976","12,695","3,297,348,520","16,146","4,193,697,456","-3,451",-4.21%,-11.97%,0.22%,"-896,348,936","-896,348,936",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 14, 2026 - COT Leveraged Funds >>> valid for trades from July 20, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"101,280","53,293","5,397,515,040","30,998","3,139,477,440","13,066","1,323,324,480","17,932","1,816,152,960","-4,866",-9.13%,-15.70%,-2.72%,"-492,828,480","-492,828,480",,AUDNZD,GBPNZD,AUDCAD,GBPCAD,AUDJPY,GBPJPY,AUDCHF,
EUR,"125,000","799,495","113,973,009,094","233,643","33,307,269,919","89,976","11,247,000,000","143,667","17,958,375,000","-53,691",-6.72%,-22.98%,-2.35%,"-6,711,375,000","-7,653,987,619",,50.40%,49.10%,44.90%,43.70%,34.00%,32.70%,32.20%,
GBP,"62,500","265,153","22,184,854,348","96,333","8,060,001,486","62,437","3,902,312,500","33,896","2,118,500,000","28,541",10.76%,29.63%,11.16%,"1,783,812,500","2,387,971,956",,GBPCHF,AUDUSD,EURNZD,GBPUSD,USDCAD,EURCAD,USDJPY,
CAD,"100,000","368,792","26,038,559,160","160,765","11,350,812,825","33,997","3,399,700,000","126,768","12,676,800,000","-92,771",-25.16%,-57.71%,-4.80%,"-9,277,100,000","-6,550,096,455",,31.00%,23.90%,22.80%,22.70%,21.00%,17.40%,10.10%,
AUD,"100,000","208,457","14,471,501,854","84,610","5,873,795,420","55,916","5,591,600,000","28,694","2,869,400,000","27,222",13.06%,32.17%,-1.21%,"2,722,200,000","1,889,805,684",,USDCHF,EURJPY,EURCHF,CHFJPY,GBPAUD,EURUSD,NZDCAD,
NZD,"100,000","118,190","6,806,207,530","42,308","2,436,390,796","6,653","665,300,000","35,655","3,565,500,000","-29,002",-24.54%,-68.55%,-4.91%,"-2,900,200,000","-1,670,138,174",,8.30%,6.40%,4.70%,1.80%,-1.30%,-3.60%,-5.40%,
CHF,"125,000","108,412","16,743,420,310","29,402","4,540,918,385","9,951","1,243,875,000","19,451","2,431,375,000","-9,500",-8.76%,-32.31%,-7.51%,"-1,187,500,000","-1,467,203,750",,CADJPY,CADCHF,NZDJPY,NZDCHF,EURGBP,NZDUSD,EURAUD,
JPY,"12,500,000","396,514","30,630,706,500","252,337","19,493,033,250","80,938","1,011,725,000,000","171,399","2,142,487,500,000","-90,461",-22.81%,-35.85%,-1.21%,"-1,130,762,500,000","-6,988,112,250",,-10.90%,-12.70%,-16.30%,-18.10%,-26.30%,-26.40%,-27.60%,
SP500 (E-MINI),"372,885","1,941,500","723,956,227,500","635,910","237,121,300,350","135,454","50,508,764,790","500,456","186,612,535,560","-365,002",-18.80%,-57.40%,-0.12%,"-136,103,770,770","-136,103,770,770",,,,,,,,,
NAS100 (NQ MINI),"571,853","284,971","162,961,521,263","159,317","91,105,904,401","47,577","27,207,050,181","111,740","63,898,854,220","-64,163",-22.52%,-40.27%,-4.63%,"-36,691,804,039","-36,691,804,039",,,,,,,,,
US30 (YM),"260,732","76,483","19,941,565,556","22,798","5,944,168,136","10,010","2,609,927,320","12,788","3,334,240,816","-2,778",-3.63%,-12.19%,-5.25%,"-724,313,496","-724,313,496",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 7, 2026 - COT Leveraged Funds >>> valid for trades from July 13, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"100,850","53,384","5,383,776,400","34,314","3,460,566,900","14,930","1,505,690,500","19,384","1,954,876,400","-4,454",-8.34%,-12.98%,2.19%,"-449,185,900","-449,185,900",,AUDNZD,AUDCAD,GBPNZD,GBPCAD,AUDJPY,AUDCHF,GBPJPY,
EUR,"125,000","794,833","113,638,267,551","220,381","31,508,147,046","87,460","10,932,500,000","132,921","16,615,125,000","-45,461",-5.72%,-20.63%,-6.87%,"-5,682,625,000","-6,499,615,996",,48.50%,43.10%,41.10%,35.70%,34.00%,29.10%,26.60%,
GBP,"62,500","282,969","23,615,708,462","97,341","8,123,775,669","57,660","3,603,750,000","39,681","2,480,062,500","17,979",6.35%,18.47%,-0.04%,"1,123,687,500","1,500,471,156",,AUDUSD,GBPCHF,EURNZD,USDCAD,EURCAD,GBPUSD,USDJPY,
CAD,"100,000","363,847","25,615,556,494","162,455","11,437,156,910","38,249","3,824,900,000","124,206","12,420,600,000","-85,957",-23.62%,-52.91%,1.81%,"-8,595,700,000","-6,051,544,714",,23.20%,21.60%,21.50%,20.00%,16.10%,15.70%,10.80%,
AUD,"100,000","204,837","14,209,542,690","88,917","6,168,172,290","59,300","5,930,000,000","29,617","2,961,700,000","29,683",14.49%,33.38%,0.45%,"2,968,300,000","2,059,109,710",,EURJPY,USDCHF,CHFJPY,EURCHF,EURUSD,NZDCAD,GBPAUD,
NZD,"100,000","113,535","6,478,307,100","42,739","2,438,687,340","7,769","776,900,000","34,970","3,497,000,000","-27,201",-23.96%,-63.64%,-3.16%,"-2,720,100,000","-1,552,089,060",,7.00%,5.90%,4.90%,2.10%,-3.80%,-5.40%,-7.50%,
CHF,"125,000","107,672","16,744,207,310","29,106","4,526,310,443","10,944","1,368,000,000","18,162","2,270,250,000","-7,218",-6.70%,-24.80%,12.29%,"-902,250,000","-1,122,480,202",,CADJPY,CADCHF,NZDJPY,NZDCHF,EURGBP,NZDUSD,EURAUD,
JPY,"12,500,000","398,103","30,803,219,625","260,063","20,122,374,625","84,990","1,062,375,000,000","175,073","2,188,412,500,000","-90,083",-22.63%,-34.64%,5.12%,"-1,126,037,500,000","-6,970,172,125",,-9.10%,-14.10%,-14.50%,-19.40%,-19.50%,-25.30%,-27.00%,
SP500 (E-MINI),"378,770","1,969,636","746,039,027,720","631,739","239,283,781,030","134,932","51,108,193,640","496,807","188,175,587,390","-361,875",-18.37%,-57.28%,-2.79%,"-137,067,393,750","-137,067,393,750",,,,,,,,,
NAS100 (NQ MINI),"596,502","285,086","170,054,369,172","154,375","92,084,996,250","49,681","29,634,815,862","104,694","62,450,180,388","-55,013",-19.30%,-35.64%,12.61%,"-32,815,364,526","-32,815,364,526",,,,,,,,,
US30 (YM),"263,185","79,726","20,982,687,310","26,034","6,851,758,290","12,114","3,188,223,090","13,920","3,663,535,200","-1,806",-2.27%,-6.94%,27.83%,"-475,312,110","-475,312,110",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of June 30, 2026 - COT Leveraged Funds >>> valid for trades from July 6, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"101,110","54,306","5,490,879,660","36,788","3,719,634,680","15,604","1,577,720,440","21,184","2,141,914,240","-5,580",-10.28%,-15.17%,-1.87%,"-564,193,800","-564,193,800",,AUDNZD,AUDCAD,GBPNZD,GBPCAD,AUDJPY,AUDCHF,GBPJPY,
EUR,"125,000","790,076","112,443,616,320","237,178","33,755,172,960","102,267","12,783,375,000","134,911","16,863,875,000","-32,644",-4.13%,-13.76%,-7.11%,"-4,080,500,000","-4,645,894,080",,46.70%,43.80%,39.50%,36.60%,36.30%,35.00%,29.10%,
GBP,"62,500","295,062","24,337,267,001","87,921","7,251,888,932","52,097","3,256,062,500","35,824","2,239,000,000","16,273",5.52%,18.51%,11.01%,"1,017,062,500","1,342,227,552",,GBPCHF,AUDUSD,EURNZD,EURCAD,USDCAD,GBPUSD,EURJPY,
CAD,"100,000","346,500","24,418,894,500","161,013","11,347,069,149","36,456","3,645,600,000","124,557","12,455,700,000","-88,101",-25.43%,-54.72%,1.45%,"-8,810,100,000","-6,208,741,773",,27.80%,24.10%,23.40%,20.50%,19.80%,16.80%,13.00%,
AUD,"100,000","215,837","14,884,551,194","96,495","6,654,488,190","64,136","6,413,600,000","32,359","3,235,900,000","31,777",14.72%,32.93%,-6.59%,"3,177,700,000","2,191,405,474",,USDJPY,EURCHF,USDCHF,CHFJPY,EURUSD,NZDCAD,GBPAUD,
NZD,"100,000","110,331","6,223,440,717","41,805","2,358,094,635","8,260","826,000,000","33,545","3,354,500,000","-25,285",-22.92%,-60.48%,-3.95%,"-2,528,500,000","-1,426,250,995",,12.30%,11.70%,11.00%,1.30%,0.70%,-2.90%,-7.20%,
CHF,"125,000","105,912","16,343,015,940","26,064","4,021,870,680","8,199","1,024,875,000","17,865","2,233,125,000","-9,666",-9.13%,-37.09%,11.01%,"-1,208,250,000","-1,491,536,295",,CADJPY,CADCHF,NZDJPY,NZDCHF,EURGBP,NZDUSD,EURAUD,
JPY,"12,500,000","438,825","33,899,231,250","290,274","22,423,666,500","87,437","1,092,962,500,000","202,837","2,535,462,500,000","-115,400",-26.30%,-39.76%,-4.91%,"-1,442,500,000,000","-8,914,650,000",,-7.50%,-8.80%,-10.40%,-11.70%,-16.10%,-22.70%,-23.30%,
SP500 (E-MINI),"376,872","1,967,167","741,370,161,624","661,581","249,331,354,632","150,556","56,740,340,832","511,025","192,591,013,800","-360,469",-18.32%,-54.49%,-4.26%,"-135,850,672,968","-135,850,672,968",,,,,,,,,
NAS100 (NQ MINI),"593,957","278,558","165,451,474,006","142,209","84,466,031,013","36,796","21,855,241,772","105,413","62,610,789,241","-68,617",-24.63%,-48.25%,-10.47%,"-40,755,547,469","-40,755,547,469",,,,,,,,,
US30 (YM),"265,280","83,306","22,099,415,680","28,696","7,612,474,880","9,359","2,482,755,520","19,337","5,129,719,360","-9,978",-11.98%,-34.77%,0.20%,"-2,646,963,840","-2,646,963,840",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of June 23, 2026 - COT Leveraged Funds >>> valid for trades from June 29, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"101,020","54,908","5,546,806,160","40,232","4,064,236,640","17,440","1,761,788,800","22,792","2,302,447,840","-5,352",-9.75%,-13.30%,-7.86%,"-540,659,040","-540,659,040",,AUDNZD,AUDCAD,AUDCHF,AUDJPY,GBPNZD,GBPCAD,GBPCHF,
EUR,"125,000","785,477","112,547,071,945","231,710","33,200,567,350","108,150","13,518,750,000","123,560","15,445,000,000","-15,410",-1.96%,-6.65%,-2.13%,"-1,926,250,000","-2,208,021,850",,48.00%,47.80%,43.80%,37.20%,32.00%,31.80%,27.80%,
GBP,"62,500","297,226","24,535,820,534","100,881","8,327,663,499","54,224","3,389,000,000","46,657","2,916,062,500","7,567",2.55%,7.50%,-10.94%,"472,937,500","624,651,121",,AUDUSD,EURNZD,EURCAD,USDCAD,GBPJPY,EURCHF,USDCHF,
CAD,"100,000","342,860","24,188,773,000","148,437","10,472,230,350","32,530","3,253,000,000","115,907","11,590,700,000","-83,377",-24.32%,-56.17%,-5.05%,"-8,337,700,000","-5,882,247,350",,26.40%,24.90%,24.80%,21.40%,21.20%,20.70%,17.40%,
AUD,"100,000","214,349","15,010,646,121","98,975","6,931,120,275","69,043","6,904,300,000","29,932","2,993,200,000","39,111",18.25%,39.52%,-4.29%,"3,911,100,000","2,738,904,219",,EURJPY,USDJPY,GBPUSD,EURUSD,NZDCAD,CADCHF,NZDCHF,
NZD,"100,000","103,297","5,923,669,762","40,374","2,315,287,404","8,776","877,600,000","31,598","3,159,800,000","-22,822",-22.09%,-56.53%,6.40%,"-2,282,200,000","-1,308,750,412",,14.10%,10.80%,10.40%,3.30%,-0.20%,-4.00%,-4.20%,
CHF,"125,000","108,626","16,805,392,678","28,724","4,443,854,135","7,454","931,750,000","21,270","2,658,750,000","-13,816",-12.72%,-48.10%,-2.85%,"-1,727,000,000","-2,137,456,090",,CHFJPY,EURGBP,CADJPY,NZDJPY,GBPAUD,NZDUSD,EURAUD,
JPY,"12,500,000","431,030","33,350,946,250","278,620","21,558,222,500","90,764","1,134,550,000,000","187,856","2,348,200,000,000","-97,092",-22.53%,-34.85%,-0.84%,"-1,213,650,000,000","-7,512,493,500",,-6.60%,-7.10%,-10.70%,-10.80%,-16.00%,-21.60%,-23.10%,
SP500 (E-MINI),"367,701","1,980,254","728,141,376,054","743,584","273,416,580,384","185,058","68,046,011,658","558,526","205,370,568,726","-373,468",-18.86%,-50.23%,11.89%,"-137,324,557,068","-137,324,557,068",,,,,,,,,
NAS100 (NQ MINI),"582,365","265,083","154,375,061,295","135,166","78,715,947,590","42,052","24,489,612,980","93,114","54,226,334,610","-51,062",-19.26%,-37.78%,-20.42%,"-29,736,721,630","-29,736,721,630",,,,,,,,,
US30 (YM),"259,381","78,956","20,479,686,236","25,807","6,693,845,467","8,391","2,176,465,971","17,416","4,517,379,496","-9,025",-11.43%,-34.97%,3.87%,"-2,340,913,525","-2,340,913,525",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of June 16, 2026 - COT Leveraged Funds >>> valid for trades from June 22, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"99,630","49,411","4,922,817,930","34,350","3,422,290,500","16,240","1,617,991,200","18,110","1,804,299,300","-1,870",-3.78%,-5.44%,24.62%,"-186,308,100","-186,308,100",,AUDNZD,AUDCAD,AUDCHF,GBPNZD,AUDJPY,GBPCAD,GBPCHF,
EUR,"125,000","894,671","129,761,963,501","197,382","28,628,038,553","94,228","11,778,500,000","103,154","12,894,250,000","-8,926",-1%,-4.52%,4.13%,"-1,115,750,000","-1,294,615,882",,53.40%,47.50%,44.50%,40.70%,38.90%,34.80%,31.80%,
GBP,"62,500","323,315","27,178,060,972","91,320","7,676,416,275","54,078","3,379,875,000","37,242","2,327,625,000","16,836",5.21%,18.44%,-5.05%,"1,052,250,000","1,415,244,683",,EURNZD,GBPJPY,AUDUSD,EURCAD,USDCAD,EURCHF,USDCHF,
CAD,"100,000","492,468","35,268,095,820","127,267","9,114,226,205","31,107","3,110,700,000","96,160","9,616,000,000","-65,053",-13.21%,-51.12%,-1.56%,"-6,505,300,000","-4,658,770,595",,29.20%,26.20%,24.60%,23.30%,22.80%,20.40%,19.90%,
AUD,"100,000","295,545","20,910,399,840","94,816","6,708,421,632","68,177","6,817,700,000","26,639","2,663,900,000","41,538",14.05%,43.81%,1.94%,"4,153,800,000","2,938,896,576",,EURJPY,USDJPY,GBPUSD,EURUSD,CADCHF,CHFJPY,NZDCAD,
NZD,"100,000","135,171","7,914,802,734","35,257","2,064,438,378","6,535","653,500,000","28,722","2,872,200,000","-22,187",-16.41%,-62.93%,-10.90%,"-2,218,700,000","-1,299,137,598",,14.70%,14.30%,11.90%,0.50%,-2.90%,-5.60%,-5.90%,
CHF,"125,000","145,747","22,947,865,150","27,326","4,302,478,700","7,480","935,000,000","19,846","2,480,750,000","-12,366",-8.48%,-45.25%,-1.13%,"-1,545,750,000","-1,947,026,700",,CADJPY,NZDCHF,EURGBP,GBPAUD,NZDJPY,EURAUD,NZDUSD,
JPY,"12,500,000","520,825","40,689,453,125","284,550","22,230,468,750","93,889","1,173,612,500,000","190,661","2,383,262,500,000","-96,772",-18.58%,-34.01%,1.37%,"-1,209,650,000,000","-7,560,312,500",,-8.60%,-8.80%,-11.50%,-12.70%,-14.50%,-24.20%,-28.70%,
SP500 (E-MINI),"373,640","2,579,920","963,961,308,800","829,926","310,093,550,640","157,203","58,737,328,920","672,723","251,356,221,720","-515,520",-19.98%,-62.12%,-4.82%,"-192,618,892,800","-192,618,892,800",,,,,,,,,
NAS100 (NQ MINI),"606,942","344,441","209,055,709,422","162,146","98,413,217,532","66,996","40,662,686,232","95,150","57,750,531,300","-28,154",-8.17%,-17.36%,2.72%,"-17,087,845,068","-17,087,845,068",,,,,,,,,
US30 (YM),"258,564","103,128","26,665,188,192","26,414","6,829,709,496","8,078","2,088,679,992","18,336","4,741,029,504","-10,258",-9.95%,-38.84%,-13.32%,"-2,652,349,512","-2,652,349,512",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of June 9, 2026 - COT Leveraged Funds >>> valid for trades from June 15, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"100,050","50,285","5,031,014,250","45,428","4,545,071,400","15,886","1,589,394,300","29,542","2,955,677,100","-13,656",-27.16%,-30.06%,-1.25%,"-1,366,282,800","-1,366,282,800",,AUDNZD,AUDCAD,AUDCHF,AUDJPY,GBPNZD,GBPCAD,AUDUSD,
EUR,"125,000","871,507","125,525,331,978","201,100","28,964,935,750","91,856","11,482,000,000","109,244","13,655,500,000","-17,388",-2%,-8.65%,-14.46%,"-2,173,500,000","-2,504,437,110",,47.00%,45.70%,43.00%,38.60%,37.80%,36.50%,36.00%,
GBP,"62,500","291,371","24,285,044,423","94,982","7,916,512,245","58,647","3,665,437,500","36,335","2,270,937,500","22,312",7.66%,23.49%,-7.09%,"1,394,500,000","1,859,649,420",,GBPCHF,GBPJPY,GBPUSD,EURNZD,EURCAD,EURCHF,EURJPY,
CAD,"100,000","383,773","27,521,513,149","118,287","8,482,715,631","29,832","2,983,200,000","88,455","8,845,500,000","-58,623",-15.28%,-49.56%,-10.33%,"-5,862,300,000","-4,204,031,199",,33.80%,29.40%,26.80%,21.70%,20.50%,17.70%,13.40%,
AUD,"100,000","314,177","22,129,056,995","101,014","7,114,921,090","71,653","7,165,300,000","29,361","2,936,100,000","42,292",13.46%,41.87%,-9.29%,"4,229,200,000","2,978,837,020",,EURUSD,USDCAD,USDCHF,USDJPY,NZDCAD,CADCHF,NZDCHF,
NZD,"100,000","149,185","8,647,806,895","42,770","2,479,248,590","10,258","1,025,800,000","32,512","3,251,200,000","-22,254",-14.92%,-52.03%,17.52%,"-2,225,400,000","-1,289,997,618",,10.70%,9.80%,7.00%,2.70%,-1.20%,-2.70%,-4.00%,
CHF,"125,000","115,412","18,114,201,930","24,445","3,836,703,863","6,830","853,750,000","17,615","2,201,875,000","-10,785",-9.34%,-44.12%,2.90%,"-1,348,125,000","-1,692,732,712",,CHFJPY,CADJPY,NZDJPY,GBPAUD,NZDUSD,EURGBP,EURAUD,
JPY,"12,500,000","505,075","39,395,850,000","282,180","22,010,040,000","91,168","1,139,600,000,000","191,012","2,387,650,000,000","-99,844",-19.77%,-35.38%,-2.19%,"-1,248,050,000,000","-7,787,832,000",,-4.40%,-7.10%,-8.30%,-9.20%,-11.00%,-16.10%,-25.30%,
SP500 (E-MINI),"371,573","2,203,164","818,636,256,972","788,080","292,829,249,840","168,247","62,516,042,531","619,833","230,313,207,309","-451,586",-20.50%,-57.30%,3.76%,"-167,797,164,778","-167,797,164,778",,,,,,,,,
NAS100 (NQ MINI),"592,719","305,568","181,115,959,392","170,880","101,283,822,720","68,287","40,475,002,353","102,593","60,808,820,367","-34,306",-11.23%,-20.08%,11.86%,"-20,333,818,014","-20,333,818,014",,,,,,,,,
US30 (YM),"256,011","79,613","20,381,803,743","29,966","7,671,625,626","11,160","2,857,082,760","18,806","4,814,542,866","-7,646",-9.60%,-25.52%,12.43%,"-1,957,460,106","-1,957,460,106",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of June 2, 2026 - COT Leveraged Funds >>> valid for trades from June 8, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD (DXY),"99,200","43,090","4,274,528,000","38,566","3,825,747,200","13,727","1,361,718,400","24,839","2,464,028,800","-11,112",-25.79%,-28.81%,6.74%,"-1,102,310,400","-1,102,310,400",,AUDNZD,GBPNZD,AUDCHF,AUDCAD,AUDJPY,AUDUSD,GBPCHF,
EUR,"125,000","842,424","122,666,411,670","207,139","30,161,768,714","109,583","13,697,875,000","97,556","12,194,500,000","12,027",1.43%,5.81%,2.41%,"1,503,375,000","1,751,266,504",,60.40%,50.10%,49.10%,45.20%,42.20%,40.00%,38.80%,
GBP,"62,500","271,147","22,795,836,691","89,453","7,520,481,434","58,403","3,650,187,500","31,050","1,940,625,000","27,353",10.09%,30.58%,0.68%,"1,709,562,500","2,299,617,997",,EURNZD,GBPCAD,GBPJPY,GBPUSD,EURCHF,EURCAD,EURJPY,
CAD,"100,000","305,869","22,170,302,727","113,683","8,240,084,889","34,541","3,454,100,000","79,142","7,914,200,000","-44,601",-14.58%,-39.23%,-2.74%,"-4,460,100,000","-3,232,814,283",,37.70%,34.90%,31.90%,29.70%,26.40%,22.50%,19.50%,
AUD,"100,000","305,391","21,928,600,755","114,924","8,252,117,820","86,862","8,686,200,000","28,062","2,806,200,000","58,800",19.25%,51.16%,0.58%,"5,880,000,000","4,222,134,000",,EURUSD,USDCHF,USDCAD,CADCHF,USDJPY,CADJPY,CHFJPY,
NZD,"100,000","136,648","8,173,873,416","39,861","2,384,365,437","6,068","606,800,000","33,793","3,379,300,000","-27,725",-20.29%,-69.55%,-29.33%,"-2,772,500,000","-1,658,426,325",,17.30%,9.10%,5.20%,3.90%,2.20%,-3.00%,-6.90%,
CHF,"125,000","111,432","17,815,191,000","21,157","3,382,475,375","5,604","700,500,000","15,553","1,944,125,000","-9,949",-8.93%,-47.02%,-18.90%,"-1,243,625,000","-1,590,596,375",,GBPAUD,NZDCHF,EURGBP,NZDCAD,NZDJPY,NZDUSD,EURAUD,
